4.14,4.14,0,1
3.46,4.14,0,1
3.46,3.46,0,1
4.40,3.46,0,1
4.40,4.39,0,1
3.21,4.40,0,1
3.20,3.21,0,1
4.65,3.20,0,1
4.65,4.65,0,1
2.95,4.65,0,1
2.95,2.95,0,1
4.90,2.95,0,1
4.90,4.90,0,1
2.70,4.90,0,1
2.70,2.70,0,1
5.16,2.70,0,1
5.16,5.16,0,1
2.44,5.16,0,1
2.44,2.44,0,1
5.41,2.44,0,1
5.41,5.41,0,1
2.19,5.41,0,1
2.19,2.19,0,1
5.66,2.19,0,1
5.67,5.67,0,1
1.94,5.67,0,1
1.93,1.94,0,1
5.92,1.93,0,1
5.92,5.92,0,1
1.68,5.92,0,1
1.68,1.68,0,1
6.17,1.68,0,1
6.17,6.17,0,1
1.43,6.17,0,1
1.43,1.43,0,1
6.43,1.43,0,1
6.43,6.43,0,1
